TSTNO,VIN,OCCLOC,PP_TTF_LAP,PP_force_LAP,PP_TTF_SHOULDER,PP_force_SHOULDER,LL_first,LL_second
667,1G2AM37RXEP211451,01,0.0,0.0,0.0,0.0,4.9,3.36
667,1G2AM37RXEP211451,02,0.0,0.0,0.0,0.0,0.0,0.0
668,JP3BC44H8EZ401273,01,0.0,0.0,0.0,0.0,0.0,0.0
668,JP3BC44H8EZ401273,02,0.0,0.0,0.0,0.0,0.0,0.0
669,JHMAF3331ES001713,01,0.0,0.0,0.0,0.0,4.94,3.81
669,JHMAF3331ES001713,02,0.0,0.0,0.0,0.0,0.0,0.0
674,1B3BA44D8EG125189,01,0.0,0.0,0.0,0.0,0.0,0.0
674,1B3BA44D8EG125189,02,0.0,0.0,0.0,0.0,0.0,0.0
681,1FABP22R3EK106987,01,0.0,0.0,0.0,0.0,6.01,0.0
681,1FABP22R3EK106987,02,0.0,0.0,0.0,0.0,0.0,0.0
682,JT2AE86S3E0027433,01,0.0,0.0,0.0,0.0,0.0,0.0
682,JT2AE86S3E0027433,02,0.0,0.0,0.0,0.0,0.0,0.0
685,JT2AE82E8E3023795,01,0.0,0.0,0.0,0.0,0.0,0.0
685,JT2AE82E8E3023795,02,0.0,0.0,0.0,0.0,0.0,0.0
686,JN1HZ14S0EX004531,01,0.0,0.0,0.0,0.0,0.0,0.0
686,JN1HZ14S0EX004531,02,0.0,0.0,0.0,0.0,0.0,0.0
688,1G1AW35XXEG112192,01,0.0,0.0,0.0,0.0,4.73,0.0
688,1G1AW35XXEG112192,02,0.0,0.0,0.0,0.0,0.0,0.0
689,1G2AL68C0EY214111,01,0.0,0.0,0.0,0.0,0.0,0.0
689,1G2AL68C0EY214111,02,0.0,0.0,0.0,0.0,0.0,0.0
693,JN1HT11S3ET113448,01,17.0,2.73,0.0,0.0,0.0,0.0
693,JN1HT11S3ET113448,02,0.0,0.0,0.0,0.0,0.0,0.0
694,JHMAN5522EC000373,01,0.0,0.0,0.0,0.0,0.0,0.0
694,JHMAN5522EC000373,02,0.0,0.0,0.0,0.0,0.0,0.0
696,None,01,0.0,0.0,0.0,0.0,0.0,0.0
696,None,02,0.0,0.0,0.0,0.0,0.0,0.0
697,1FTCF15Y0EPA24569,01,0.0,0.0,0.0,0.0,0.0,0.0
697,1FTCF15Y0EPA24569,02,0.0,0.0,0.0,0.0,0.0,0.0
703,2B4FK21G7ER105432,01,0.0,0.0,0.0,0.0,0.0,0.0
703,2B4FK21G7ER105432,02,0.0,0.0,0.0,0.0,0.0,0.0
705,JHMAG4318ES005369,01,0.0,0.0,0.0,0.0,0.0,0.0
705,JHMAG4318ES005369,02,0.0,0.0,0.0,0.0,0.0,0.0
706,1MEBP95F0EZ642080,01,0.0,0.0,0.0,0.0,0.0,0.0
706,1MEBP95F0EZ642080,02,0.0,0.0,0.0,0.0,0.0,0.0
707,1JCUX7725ET095432,01,0.0,0.0,0.0,0.0,0.0,0.0
707,1JCUX7725ET095432,02,0.0,0.0,0.0,0.0,0.0,0.0
711,VF1FF35B0E1001217,01,0.0,0.0,0.0,0.0,0.0,0.0
711,VF1FF35B0E1001217,02,0.0,0.0,0.0,0.0,0.0,0.0
720,JT3YR22V8E5016894,01,0.0,0.0,0.0,0.0,0.0,0.0
720,JT3YR22V8E5016894,02,0.0,0.0,0.0,0.0,0.0,0.0
722,JN1PS24S9EW610051,01,0.0,0.0,0.0,0.0,0.0,0.0
722,JN1PS24S9EW610051,02,0.0,0.0,0.0,0.0,0.0,0.0
738,1G4CW6938F1406649,01,0.0,0.0,0.0,0.0,0.0,0.0
738,1G4CW6938F1406649,02,0.0,0.0,0.0,0.0,0.0,0.0
739,1FABP2736EF184855,01,23.1,1.32,23.1,1.87,0.0,0.0
739,1FABP2736EF184855,02,23.2,1.39,23.1,1.24,0.0,0.0
743,JABAR07A4E0904968,01,0.0,0.0,0.0,0.0,0.0,0.0
743,JABAR07A4E0904968,02,0.0,0.0,0.0,0.0,0.0,0.0
745,JHMAB5226ECO36483,01,0.0,0.0,0.0,0.0,4.93,0.0
745,JHMAB5226ECO36483,02,0.0,0.0,0.0,0.0,0.0,0.0
746,JA3BF36DXEZ451411,01,0.0,0.0,0.0,0.0,5.43,0.0
746,JA3BF36DXEZ451411,02,0.0,0.0,0.0,0.0,0.0,0.0
747,JT2AL32HXE0250930,01,0.0,0.0,0.0,0.0,0.0,0.0
747,JT2AL32HXE0250930,02,0.0,0.0,0.0,0.0,0.0,0.0
756,1XMDW9535EK190134,01,0.0,0.0,0.0,0.0,0.0,0.0
756,1XMDW9535EK190134,02,0.0,0.0,0.0,0.0,0.0,0.0
788,None,01,0.0,0.0,0.0,0.0,5.63,0.0
788,None,02,0.0,0.0,0.0,0.0,0.0,0.0
789,JF1AC42B7FB206890,01,0.0,0.0,0.0,0.0,0.0,0.0
789,JF1AC42B7FB206890,02,0.0,0.0,0.0,0.0,0.0,0.0
790,JM1FB3313F0857190,01,0.0,0.0,0.0,0.0,0.0,0.0
